"","X","MES","CONGLOME.x","VIVIENDA.x","HOGAR.x","CODPERSO.x","UBIGEO.x","DOMINIO","ESTRATO.x","CODINFOR.x","P300A","P301A","P207","P507","P513T","P524A1","CONGLOME.y","VIVIENDA.y","HOGAR.y","CODPERSO.y","UBIGEO.y","DOMINIO.y","ESTRATO.y","CODINFOR.y","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"517",517,100071111121801216,10007,11,11,1,21801,"CC",2,1,"Castellano","Primaria incompleta","Mujer",6,30,350,10007,11,11,1,21801,2,2,1,2,2,2,2,2,2
"518",518,100075311421801216,10007,53,11,4,21801,"CC",2,4,"Castellano","Superior universitaria completa","Hombre",4,48,1000,10007,53,11,4,21801,2,2,4,2,2,2,2,2,2
"519",519,100076411221801216,10007,64,11,2,21801,"CC",2,2,"Castellano","Superior no universitaria completa","Hombre",3,48,950,10007,64,11,2,21801,2,2,2,2,2,2,2,2,2
"520",520,100076411321801216,10007,64,11,3,21801,"CC",2,3,"Castellano","Superior no universitaria Incompleta","Mujer",3,16,930,10007,64,11,3,21801,2,2,3,2,2,2,2,2,2
"521",521,10010211221809222,10010,2,11,2,21809,"CC",2,2,"Castellano","Maestria/Doctorado","Mujer",3,24,930,10010,2,11,2,21809,2,2,2,2,2,2,2,2,2
"522",522,10010211321809224,10010,2,11,3,21809,"CC",2,3,"Castellano","Maestria/Doctorado","Mujer",3,48,930,10010,2,11,3,21809,2,2,3,2,2,2,2,2,2
"523",523,100101211121809216,10010,12,11,1,21809,"CC",2,2,"Castellano","Básica especial","Hombre",3,36,6500,10010,12,11,1,21809,2,2,2,2,2,2,2,2,2
"524",524,100101211221809216,10010,12,11,2,21809,"CC",2,2,"Castellano","Superior no universitaria completa","Mujer",3,40,3200,10010,12,11,2,21809,2,2,2,2,2,2,2,2,2
"525",525,100105411321809216,10010,54,11,3,21809,"CC",2,3,"Castellano","Superior universitaria completa","Mujer",3,24,800,10010,54,11,3,21809,2,2,3,2,2,2,2,2,2
"526",526,100109211121809216,10010,92,11,1,21809,"CC",2,1,"Castellano","Maestria/Doctorado","Mujer",3,40,3218,10010,92,11,1,21809,2,2,1,2,2,2,2,2,2
"527",527,100109211321809216,10010,92,11,3,21809,"CC",2,3,"Castellano","Maestria/Doctorado","Mujer",3,6,500,10010,92,11,3,21809,2,2,3,2,2,2,2,2,2
"528",528,100235111221405280,10023,51,11,2,21405,"CC",7,2,"Castellano","Secundaria completa","Hombre",4,15,360,10023,51,11,2,21405,2,7,2,2,2,2,2,2,2
"529",529,100235111421405280,10023,51,11,4,21405,"CC",7,4,"Castellano","Secundaria completa","Hombre",4,30,500,10023,51,11,4,21405,2,7,4,2,2,2,2,2,2
"530",530,1002311211121405312,10023,112,11,1,21405,"CC",7,1,"Quechua","Primaria completa","Hombre",4,48,1200,10023,112,11,1,21405,2,7,1,2,2,2,2,2,2
"531",531,1002311211221405312,10023,112,11,2,21405,"CC",7,2,"Castellano","Primaria incompleta","Mujer",4,60,300,10023,112,11,2,21405,2,7,2,2,2,2,2,2,2
"532",532,1002311211421405312,10023,112,11,4,21405,"CC",7,4,"Castellano","Superior no universitaria Incompleta","Hombre",4,48,500,10023,112,11,4,21405,2,7,4,2,2,2,2,2,2
"533",533,1002311311121405312,10023,113,11,1,21405,"CC",7,1,"Castellano","Primaria completa","Hombre",4,63,400,10023,113,11,1,21405,2,7,1,2,2,2,2,2,2
"534",534,1002311311221405312,10023,113,11,2,21405,"CC",7,2,"Castellano","Primaria completa","Mujer",4,18,270,10023,113,11,2,21405,2,7,2,2,2,2,2,2,2
"535",535,1002311611121405312,10023,116,11,1,21405,"CC",7,1,"Castellano","Secundaria completa","Hombre",4,55,740,10023,116,11,1,21405,2,7,1,2,2,2,2,2,2
"536",536,10047911140520672,10047,9,11,1,40520,"SS",7,1,"Quechua","Secundaria completa","Hombre",4,70,1800,10047,9,11,1,40520,6,7,1,2,2,2,2,2,2
"537",537,1004720011140520704,10047,200,11,1,40520,"SS",7,1,"Castellano","Secundaria completa","Hombre",4,56,700,10047,200,11,1,40520,6,7,1,2,2,2,2,2,2
"538",538,100837511370101808,10083,75,11,3,70101,"LM",1,1,"Castellano","Secundaria completa","Mujer",3,24,450,10083,75,11,3,70101,8,1,1,2,2,2,2,2,2
"539",539,100839311170101808,10083,93,11,1,70101,"LM",1,2,"Castellano","Superior no universitaria completa","Hombre",3,76,7000,10083,93,11,1,70101,8,1,2,2,2,2,2,2,2
"540",540,100839311370101808,10083,93,11,3,70101,"LM",1,2,"Castellano","Superior universitaria completa","Hombre",3,55,3000,10083,93,11,3,70101,8,1,3,2,2,2,2,2,2
"541",541,1016859111130101120,10168,59,11,1,130101,"CN",1,1,"Castellano","Maestria/Doctorado","Hombre",3,15,300,10168,59,11,1,130101,1,1,1,2,2,2,2,2,2
"542",542,10168137113130100736,10168,137,11,3,130101,"CN",1,3,"Castellano","Secundaria completa","Mujer",3,96,950,10168,137,11,3,130101,1,1,3,2,2,2,2,2,2
"543",543,1019812111140312192,10198,12,11,1,140312,"CN",5,1,"Castellano","Secundaria completa","Hombre",4,54,300,10198,12,11,1,140312,1,5,1,2,2,2,2,2,2
"544",544,1019848111140312192,10198,48,11,1,140312,"CN",5,1,"Castellano","Secundaria completa","Mujer",4,18,200,10198,48,11,1,140312,1,5,1,2,2,2,2,2,2
"545",545,10198122112140312576,10198,122,11,2,140312,"CN",5,2,"Castellano","Secundaria completa","Mujer",6,30,100,10198,122,11,2,140312,1,5,2,2,2,2,2,2,2
"546",546,10198158111140313088,10198,158,11,1,140312,"CN",5,1,"Castellano","Primaria completa","Mujer",3,60,240,10198,158,11,1,140312,1,5,1,2,2,2,2,2,2
"547",547,10198158116140312576,10198,158,11,6,140312,"CN",5,6,"Castellano","Secundaria completa","Mujer",3,26,1200,10198,158,11,6,140312,1,5,6,2,2,2,2,2,2
"548",548,1019927112140108160,10199,27,11,2,140108,"CN",4,2,"Castellano","Secundaria incompleta","Hombre",3,24,150,10199,27,11,2,140108,1,4,2,2,2,2,2,2,2
"549",549,1019962112140108160,10199,62,11,2,140108,"CN",4,2,"Castellano","Secundaria completa","Hombre",3,48,200,10199,62,11,2,140108,1,4,2,1,2,2,2,2,2
"550",550,1019995111140108160,10199,95,11,1,140108,"CN",4,1,"Castellano","Superior no universitaria completa","Hombre",4,48,930,10199,95,11,1,140108,1,4,1,2,2,2,2,2,2
"551",551,1019995114140108160,10199,95,11,4,140108,"CN",4,4,"Castellano","Maestria/Doctorado","Hombre",4,24,90,10199,95,11,4,140108,1,4,4,2,2,2,2,2,2
"552",552,10199113111140108288,10199,113,11,1,140108,"CN",4,1,"Castellano","Primaria incompleta","Mujer",3,49,280,10199,113,11,1,140108,1,4,1,2,2,2,2,2,2
"553",553,102038111140120144,10203,8,11,1,140120,"CN",4,1,"Castellano","Primaria completa","Mujer",4,12,10,10203,8,11,1,140120,1,4,1,2,2,2,2,2,2
"554",554,102038112140120144,10203,8,11,2,140120,"CN",4,2,"Castellano","Secundaria completa","Mujer",4,78,300,10203,8,11,2,140120,1,4,2,2,2,2,2,2,2
"555",555,102038115140120144,10203,8,11,5,140120,"CN",4,5,"Castellano","Secundaria completa","Hombre",4,41,250,10203,8,11,5,140120,1,4,5,2,2,2,2,2,2
"556",556,1020350111140120192,10203,50,11,1,140120,"CN",4,1,"Castellano","Secundaria incompleta","Hombre",4,48,360,10203,50,11,1,140120,1,4,1,2,2,2,2,2,2
"557",557,1020377111140120192,10203,77,11,1,140120,"CN",4,1,"Castellano","Primaria completa","Hombre",4,32,350,10203,77,11,1,140120,1,4,1,2,2,2,2,2,2
"558",558,1020391111140120192,10203,91,11,1,140120,"CN",4,1,"Castellano","Secundaria completa","Hombre",4,60,210,10203,91,11,1,140120,1,4,1,2,2,2,2,2,2
"559",559,1020391112140120192,10203,91,11,2,140120,"CN",4,2,"Castellano","Secundaria completa","Mujer",4,98,290,10203,91,11,2,140120,1,4,2,2,2,2,2,2,2
"560",560,10203118111140120576,10203,118,11,1,140120,"CN",4,1,"Castellano","Secundaria incompleta","Hombre",4,42,850,10203,118,11,1,140120,1,4,1,2,2,2,2,2,2
"561",561,1024453111150142848,10244,53,11,1,150142,"LM",1,1,"Castellano","Secundaria completa","Mujer",4,44,950,10244,53,11,1,150142,8,1,1,2,2,2,2,2,2
"562",562,1024453112150142848,10244,53,11,2,150142,"LM",1,2,"Castellano","Secundaria completa","Hombre",4,40,200,10244,53,11,2,150142,8,1,2,2,2,2,2,2,2
"563",563,1024477112150142848,10244,77,11,2,150142,"LM",1,2,"Castellano","Secundaria completa","Mujer",4,48,950,10244,77,11,2,150142,8,1,2,2,2,2,2,2,2
"564",564,10244147111150143488,10244,147,11,1,150142,"LM",1,1,"Castellano","Secundaria completa","Mujer",4,44,1100,10244,147,11,1,150142,8,1,1,2,2,2,2,2,2
"565",565,10244147112150142976,10244,147,11,2,150142,"LM",1,2,"Castellano","Secundaria completa","Hombre",4,45,1200,10244,147,11,2,150142,8,1,2,2,2,2,2,2,2
"566",566,10244147113150142464,10244,147,11,3,150142,"LM",1,2,"Castellano","Secundaria completa","Mujer",3,43,1300,10244,147,11,3,150142,8,1,2,2,2,2,2,2,2
"567",567,1025249112150801280,10252,49,11,2,150801,"CC",2,2,"Castellano","Básica especial","Hombre",3,30,2500,10252,49,11,2,150801,2,2,2,2,2,2,2,2,2
"568",568,1025312111150805248,10253,12,11,1,150805,"CC",2,5,"Castellano","Secundaria incompleta","Mujer",6,10,90,10253,12,11,1,150805,2,2,1,2,2,2,2,2,2
"569",569,1025372111150805248,10253,72,11,1,150805,"CC",2,1,"Castellano","Primaria completa","Mujer",6,36,200,10253,72,11,1,150805,2,2,1,2,2,2,2,2,2
"570",570,1025389112150805248,10253,89,11,2,150805,"CC",2,1,"Castellano","Maestria/Doctorado","Hombre",3,0,2200,10253,89,11,2,150805,2,2,1,2,2,2,2,2,2
"571",571,1026921114160108672,10269,21,11,4,160108,"SE",2,4,"Castellano","Secundaria completa","Hombre",4,36,120,10269,21,11,4,160108,7,2,4,2,2,2,2,2,2
"572",572,1026932111160108672,10269,32,11,1,160108,"SE",2,1,"Castellano","Primaria incompleta","Mujer",6,6,50,10269,32,11,1,160108,7,2,1,2,2,2,2,2,2
"573",573,1026932115160108672,10269,32,11,5,160108,"SE",2,5,"Castellano","Secundaria completa","Hombre",4,18,80,10269,32,11,5,160108,7,2,5,2,2,2,2,2,2
"574",574,1026932116160108672,10269,32,11,6,160108,"SE",2,6,"Castellano","Secundaria completa","Mujer",3,35,200,10269,32,11,6,160108,7,2,6,2,2,2,2,2,2
"575",575,1026932117160108672,10269,32,11,7,160108,"SE",2,7,"Castellano","Secundaria incompleta","Mujer",6,18,20,10269,32,11,7,160108,7,2,7,2,2,2,2,2,2
"576",576,1026945111160108672,10269,45,11,1,160108,"SE",2,1,"Castellano","Secundaria completa","Hombre",4,8,1650,10269,45,11,1,160108,7,2,1,2,2,2,2,2,2
"577",577,1026970114160108672,10269,70,11,4,160108,"SE",2,4,"Castellano","Secundaria completa","Hombre",3,12,130,10269,70,11,4,160108,7,2,4,2,2,2,2,2,2
"578",578,10269106111160109056,10269,106,11,1,160108,"SE",2,1,"Castellano","Básica especial","Mujer",3,0,2200,10269,106,11,1,160108,7,2,1,2,2,2,2,2,2
"579",579,10269119111160109056,10269,119,11,1,160108,"SE",2,1,"Castellano","Básica especial","Mujer",3,36,4600,10269,119,11,1,160108,7,2,1,2,2,2,2,2,2
"580",580,10269119112160108544,10269,119,11,2,160108,"SE",2,2,"Castellano","Maestria/Doctorado","Mujer",3,50,2500,10269,119,11,2,160108,7,2,2,2,2,2,2,2,2
"581",581,1027455112160201728,10274,55,11,2,160201,"SE",4,2,"Castellano","Superior no universitaria Incompleta","Mujer",4,4,1550,10274,55,11,2,160201,7,4,2,2,2,2,2,2,2
"582",582,1027455113160201728,10274,55,11,3,160201,"SE",4,3,"Castellano","Primaria incompleta","Mujer",6,70,600,10274,55,11,3,160201,7,4,3,2,2,2,2,2,2
"583",583,1027483113160201728,10274,83,11,3,160201,"SE",4,2,"Castellano","Secundaria completa","Hombre",4,48,250,10274,83,11,3,160201,7,4,2,2,2,2,2,2,2
"584",584,1027498111160201728,10274,98,11,1,160201,"SE",4,1,"Castellano","Maestria/Doctorado","Mujer",3,0,2760,10274,98,11,1,160201,7,4,1,2,2,2,2,2,2
"585",585,1027498114160201728,10274,98,11,4,160201,"SE",4,4,"Castellano","Primaria incompleta","Mujer",3,60,200,10274,98,11,4,160201,7,4,4,2,2,2,2,2,2
"586",586,10274110113160202240,10274,110,11,3,160201,"SE",4,3,"Castellano","Secundaria incompleta","Hombre",3,47,70,10274,110,11,3,160201,7,4,3,2,2,2,2,2,2
"587",587,10274122112160202752,10274,122,11,2,160201,"SE",4,2,"Castellano","Maestria/Doctorado","Hombre",3,36,3040,10274,122,11,2,160201,7,4,2,2,2,2,2,2,2
"588",588,1035914111220802816,10359,14,11,1,220802,"SE",7,1,"Shipibo","Primaria completa","Hombre",4,48,300,10359,14,11,1,220802,7,7,1,2,2,2,2,2,2
"589",589,1035915113220802816,10359,15,11,3,220802,"SE",7,3,"Shipibo","Secundaria incompleta","Hombre",4,48,375,10359,15,11,3,220802,7,7,3,2,2,2,2,2,2
"590",590,1035916112220802816,10359,16,11,2,220802,"SE",7,2,"Shipibo","Sin nivel","Mujer",4,40,375,10359,16,11,2,220802,7,7,2,2,2,2,2,2,2
"591",591,1035916113220802816,10359,16,11,3,220802,"SE",7,3,"Shipibo","Secundaria completa","Mujer",4,40,150,10359,16,11,3,220802,7,7,3,2,2,2,2,2,2
"592",592,10359105114220802048,10359,105,11,4,220802,"SE",7,4,"Castellano","Secundaria incompleta","Hombre",4,7,35,10359,105,11,4,220802,7,7,4,2,2,2,2,2,2
"593",593,10359105115220803584,10359,105,11,5,220802,"SE",7,1,"Castellano","Secundaria incompleta","Hombre",4,40,120,10359,105,11,5,220802,7,7,1,2,2,2,2,2,2
"594",594,106074111131003456,10607,4,11,1,131003,"SN",5,1,"Castellano","Secundaria completa","Hombre",4,0,1600,10607,4,11,1,131003,4,5,1,2,2,2,2,2,2
"595",595,1.060745111131e+18,10607,45,11,1,131003,"SN",5,1,"Castellano","Superior no universitaria completa","Hombre",3,20,1900,10607,45,11,1,131003,4,5,1,2,2,2,2,2,2
"596",596,106312111150501232,10631,2,11,1,150501,"CC",3,1,"Castellano","Superior universitaria completa","Hombre",4,48,930,10631,2,11,1,150501,2,3,1,2,2,2,2,2,2
"597",597,1063115111150501248,10631,15,11,1,150501,"CC",3,1,"Castellano","Superior no universitaria completa","Hombre",3,50,930,10631,15,11,1,150501,2,3,1,2,2,2,2,2,2
"598",598,1063115112150501248,10631,15,11,2,150501,"CC",3,1,"Castellano","Superior no universitaria completa","Mujer",3,54,930,10631,15,11,2,150501,2,3,1,2,2,2,2,2,2
"599",599,1063129112150501248,10631,29,11,2,150501,"CC",3,2,"Castellano","Superior no universitaria completa","Mujer",3,48,160,10631,29,11,2,150501,2,3,2,2,2,2,2,2,2
"600",600,1063129114150501248,10631,29,11,4,150501,"CC",3,4,"Castellano","Secundaria completa","Hombre",4,28,150,10631,29,11,4,150501,2,3,4,2,2,2,2,2,2
"601",601,1063178111150501248,10631,78,11,1,150501,"CC",3,1,"Castellano","Primaria completa","Mujer",4,48,240,10631,78,11,1,150501,2,3,1,2,2,2,2,2,2
"602",602,1063178112150501248,10631,78,11,2,150501,"CC",3,2,"Castellano","Superior no universitaria Incompleta","Mujer",4,48,330,10631,78,11,2,150501,2,3,5,2,2,2,2,2,2
"603",603,1063178113150501248,10631,78,11,3,150501,"CC",3,3,"Castellano","Secundaria incompleta","Mujer",4,48,150,10631,78,11,3,150501,2,3,3,2,2,2,2,2,2
"604",604,106564111150806224,10656,4,11,1,150806,"CC",2,3,"Quechua","Primaria completa","Hombre",4,30,200,10656,4,11,1,150806,2,2,3,2,2,2,2,2,2
"605",605,106564112150806224,10656,4,11,2,150806,"CC",2,3,"Quechua","Sin nivel","Mujer",4,25,200,10656,4,11,2,150806,2,2,3,2,2,2,2,2,2
"606",606,106564113150806224,10656,4,11,3,150806,"CC",2,3,"Castellano","Maestria/Doctorado","Mujer",3,40,930,10656,4,11,3,150806,2,2,3,2,2,2,2,2,2
"607",607,1065621111150806272,10656,21,11,1,150806,"CC",2,1,"Castellano","Secundaria completa","Hombre",4,48,1525,10656,21,11,1,150806,2,2,1,2,2,2,2,2,2
"608",608,1065653111150806272,10656,53,11,1,150806,"CC",2,1,"Castellano","Secundaria completa","Hombre",4,48,1500,10656,53,11,1,150806,2,2,1,2,2,2,2,2,2
"609",609,1065653112150806272,10656,53,11,2,150806,"CC",2,2,"Castellano","Superior no universitaria completa","Mujer",4,16,100,10656,53,11,2,150806,2,2,2,2,2,2,2,2,2
"610",610,1065670112150806272,10656,70,11,2,150806,"CC",2,2,"Castellano","Superior no universitaria completa","Mujer",4,52,1000,10656,70,11,2,150806,2,2,2,2,2,2,2,2,2
"611",611,1065688111150806272,10656,88,11,1,150806,"CC",2,2,"Quechua","Primaria completa","Hombre",4,25,250,10656,88,11,1,150806,2,2,2,2,2,2,2,2,2
"612",612,1065688112150806272,10656,88,11,2,150806,"CC",2,2,"Castellano","Secundaria completa","Mujer",4,10,60,10656,88,11,2,150806,2,2,2,2,2,2,2,2,2
"613",613,10656105113150806016,10656,105,11,3,150806,"CC",2,2,"Castellano","Secundaria completa","Mujer",3,48,930,10656,105,11,3,150806,2,2,2,2,2,2,2,2,2
"614",614,11300174113160103936,11300,174,11,3,160103,"SE",7,3,"Castellano","Secundaria completa","Hombre",4,3,30,11300,174,11,3,160103,7,7,3,2,2,2,2,2,2
"615",615,11300174114160103424,11300,174,11,4,160103,"SE",7,4,"Castellano","Secundaria incompleta","Mujer",6,12,50,11300,174,11,4,160103,7,7,4,2,2,2,2,2,2
"616",616,1135831112110103296,11358,31,11,2,110103,"CC",8,2,"Castellano","Superior no universitaria completa","Hombre",3,48,1200,11358,31,11,2,110103,2,8,2,2,2,2,2,2,2
"617",617,1135873111110103296,11358,73,11,1,110103,"CC",8,1,"Castellano","Superior no universitaria completa","Hombre",4,35,300,11358,73,11,1,110103,2,8,1,2,2,2,2,2,2
"618",618,1135873112110103296,11358,73,11,2,110103,"CC",8,2,"Castellano","Superior no universitaria completa","Mujer",3,70,1149,11358,73,11,2,110103,2,8,2,2,2,2,2,2,2
"619",619,1135874112110103296,11358,74,11,2,110103,"CC",8,2,"Castellano","Secundaria completa","Hombre",4,60,1500,11358,74,11,2,110103,2,8,2,2,2,2,2,2,2
"620",620,1135875113110103296,11358,75,11,3,110103,"CC",8,3,"Castellano","Superior no universitaria completa","Hombre",3,54,452,11358,75,11,3,110103,2,8,3,2,2,2,2,2,2
"621",621,15024911210101442,15024,9,11,2,10101,"SN",4,2,"Castellano","Superior no universitaria completa","Mujer",6,36,400,15024,9,11,2,10101,4,4,2,2,2,2,2,2,2
"622",622,150242311410101440,15024,23,11,4,10101,"SN",4,4,"Castellano","Superior no universitaria completa","Mujer",3,48,1200,15024,23,11,4,10101,4,4,4,2,2,2,2,2,2
"623",623,150249411110101440,15024,94,11,1,10101,"SN",4,1,"Castellano","Maestria/Doctorado","Hombre",4,40,1700,15024,94,11,1,10101,4,4,1,2,2,2,2,2,2
"624",624,150249411210101440,15024,94,11,2,10101,"SN",4,2,"Castellano","Maestria/Doctorado","Mujer",3,48,2500,15024,94,11,2,10101,4,4,2,2,2,2,2,2,2
"625",625,150582011510706752,15058,20,11,5,10706,"SE",5,1,"Castellano","Superior universitaria completa","Mujer",3,44,1300,15058,20,11,5,10706,7,5,1,2,2,2,2,2,2
"626",626,150589911110706752,15058,99,11,1,10706,"SE",5,1,"Castellano","Superior no universitaria completa","Hombre",3,20,1600,15058,99,11,1,10706,7,5,1,2,2,2,2,2,2
"627",627,15076411110104460,15076,4,11,1,10104,"SN",6,1,"Castellano","Maestria/Doctorado","Hombre",3,40,5000,15076,4,11,1,10104,4,6,1,2,2,2,2,2,2
"628",628,150761711310104448,15076,17,11,3,10104,"SN",6,3,"Castellano","Secundaria completa","Mujer",4,12,40,15076,17,11,3,10104,4,6,3,2,2,2,2,2,2
"629",629,150761711410104448,15076,17,11,4,10104,"SN",6,4,"Castellano","Secundaria incompleta","Mujer",3,8,10,15076,17,11,4,10104,4,6,4,2,2,2,2,2,2
"630",630,1507612311310104576,15076,123,11,3,10104,"SN",6,1,"Castellano","Superior no universitaria completa","Hombre",4,42,300,15076,123,11,3,10104,4,6,1,2,2,2,2,2,2
"631",631,1507612311410104576,15076,123,11,4,10104,"SN",6,4,"Castellano","Secundaria completa","Mujer",4,16,60,15076,123,11,4,10104,4,6,4,2,2,2,2,2,2
"632",632,150808711310101472,15080,87,11,3,10101,"SN",8,3,"Castellano","Primaria incompleta","Hombre",4,16,100,15080,87,11,3,10101,4,8,3,2,2,2,2,2,2
"633",633,150808811110101472,15080,88,11,1,10101,"SN",8,1,"Castellano","Primaria incompleta","Hombre",4,49,120,15080,88,11,1,10101,4,8,1,2,2,2,2,2,2
"634",634,1510911311110705664,15109,113,11,1,10705,"SE",7,1,"Castellano","Primaria completa","Hombre",4,32,720,15109,113,11,1,10705,7,7,1,2,2,2,2,2,2
"635",635,1510911411110705664,15109,114,11,1,10705,"SE",7,1,"Castellano","Secundaria incompleta","Mujer",4,48,90,15109,114,11,1,10705,7,7,1,2,2,2,2,2,2
"636",636,1510911511210705664,15109,115,11,2,10705,"SE",7,1,"Castellano","Secundaria incompleta","Hombre",4,8,120,15109,115,11,2,10705,7,7,1,2,2,2,2,2,2
"637",637,1510911611110705664,15109,116,11,1,10705,"SE",7,2,"Castellano","Primaria completa","Hombre",4,70,1600,15109,116,11,1,10705,7,7,2,2,2,2,2,2,2
"638",638,1510911611610705664,15109,116,11,6,10705,"SE",7,6,"Castellano","Secundaria incompleta","Hombre",4,48,100,15109,116,11,6,10705,7,7,6,2,2,2,2,2,2
"639",639,1510923711110705664,15109,237,11,1,10705,"SE",7,1,"Castellano","Primaria incompleta","Hombre",4,48,1200,15109,237,11,1,10705,7,7,1,2,2,2,2,2,2
"640",640,1510923711510705664,15109,237,11,5,10705,"SE",7,5,"Castellano","Primaria incompleta","Hombre",4,48,50,15109,237,11,5,10705,7,7,5,2,2,2,2,2,2
"641",641,15119611210522762,15119,6,11,2,10522,"SE",6,2,"Castellano","Secundaria completa","Mujer",4,16,150,15119,6,11,2,10522,7,6,2,2,2,2,2,2,2
"642",642,15119611310522764,15119,6,11,3,10522,"SE",6,3,"Castellano","Superior no universitaria Incompleta","Hombre",4,46,1050,15119,6,11,3,10522,7,6,3,2,2,2,2,2,2
"643",643,15119611410522762,15119,6,11,4,10522,"SE",6,2,"Castellano","Superior no universitaria Incompleta","Mujer",4,16,40,15119,6,11,4,10522,7,6,2,2,2,2,2,2,2
"644",644,151196211210522752,15119,62,11,2,10522,"SE",6,1,"Castellano","Primaria completa","Hombre",4,16,200,15119,62,11,2,10522,7,6,1,2,2,2,2,2,2
"645",645,151196211410522752,15119,62,11,4,10522,"SE",6,4,"Castellano","Secundaria completa","Hombre",4,46,950,15119,62,11,4,10522,7,6,4,2,2,2,2,2,2
"646",646,151197811210522752,15119,78,11,2,10522,"SE",6,2,"Castellano","Secundaria completa","Mujer",4,24,200,15119,78,11,2,10522,7,6,2,2,2,2,2,2,2
"647",647,151804111210202784,15180,41,11,2,10202,"SE",7,2,"Castellano","Primaria completa","Mujer",4,24,250,15180,41,11,2,10202,7,7,2,2,2,2,2,2,2
"648",648,151804111310202784,15180,41,11,3,10202,"SE",7,1,"Castellano","Secundaria completa","Hombre",4,48,150,15180,41,11,3,10202,7,7,3,2,2,2,2,2,2
"649",649,151804111410202784,15180,41,11,4,10202,"SE",7,4,"Castellano","Secundaria incompleta","Hombre",4,24,150,15180,41,11,4,10202,7,7,4,2,2,2,2,2,2
"650",650,1518030111110202880,15180,301,11,1,10202,"SE",7,1,"Castellano","Primaria completa","Mujer",4,16,125,15180,301,11,1,10202,7,7,1,2,2,2,2,2,2
"651",651,1518030311210202880,15180,303,11,2,10202,"SE",7,2,"Castellano","Educación inicial","Mujer",4,24,300,15180,303,11,2,10202,7,7,2,2,2,2,2,2,2
"652",652,152211711121801216,15221,17,11,1,21801,"CC",2,1,"Castellano","Secundaria completa","Hombre",4,32,1300,15221,17,11,1,21801,2,2,1,2,2,2,2,2,2
"653",653,152212911121801216,15221,29,11,1,21801,"CC",2,1,"Castellano","Secundaria incompleta","Hombre",4,48,1260,15221,29,11,1,21801,2,2,1,2,2,2,2,2,2
"654",654,152214111421801216,15221,41,11,4,21801,"CC",2,4,"Castellano","Secundaria completa","Hombre",4,24,360,15221,41,11,4,21801,2,2,4,2,2,2,2,2,2
"655",655,152216511121801216,15221,65,11,1,21801,"CC",2,1,"Castellano","Secundaria completa","Hombre",4,24,950,15221,65,11,1,21801,2,2,1,2,2,2,2,2,2
"656",656,152216511521801216,15221,65,11,5,21801,"CC",2,5,"Castellano","Maestria/Doctorado","Mujer",3,25,850,15221,65,11,5,21801,2,2,5,2,2,2,2,2,2
"657",657,152383811121809216,15238,38,11,1,21809,"CC",2,1,"Castellano","Superior no universitaria completa","Hombre",3,0,3700,15238,38,11,1,21809,2,2,1,2,2,2,2,2,2
"658",658,152388411221809216,15238,84,11,2,21809,"CC",2,2,"Quechua","Primaria incompleta","Hombre",4,42,258,15238,84,11,2,21809,2,2,2,2,2,2,2,2,2
"659",659,152389911421809216,15238,99,11,4,21809,"CC",2,4,"Castellano","Secundaria completa","Hombre",3,48,1000,15238,99,11,4,21809,2,2,4,2,2,2,2,2,2
"660",660,152682911320804288,15268,29,11,3,20804,"CC",8,3,"Castellano","Secundaria completa","Hombre",4,60,1200,15268,29,11,3,20804,2,8,3,2,2,2,2,2,2
"661",661,152683211220804288,15268,32,11,2,20804,"CC",8,2,"Aimara","Secundaria completa","Hombre",4,0,1500,15268,32,11,2,20804,2,8,2,2,2,2,2,2,2
"662",662,1526810311320804352,15268,103,11,3,20804,"CC",8,3,"Quechua","Secundaria completa","Hombre",4,24,450,15268,103,11,3,20804,2,8,3,2,2,2,2,2,2
"663",663,152852511120105536,15285,25,11,1,20105,"SC",2,1,"Castellano","Superior no universitaria completa","Hombre",3,30,500,15285,25,11,1,20105,5,2,1,2,2,2,2,2,2
"664",664,152852511220105536,15285,25,11,2,20105,"SC",2,2,"Castellano","Superior universitaria completa","Hombre",4,40,4000,15285,25,11,2,20105,5,2,2,2,2,2,2,2,2
"665",665,152853811120105536,15285,38,11,1,20105,"SC",2,1,"Castellano","Superior no universitaria Incompleta","Hombre",3,48,3500,15285,38,11,1,20105,5,2,1,2,2,2,2,2,2
"666",666,152853811220105536,15285,38,11,2,20105,"SC",2,2,"Castellano","Maestria/Doctorado","Mujer",3,36,800,15285,38,11,2,20105,5,2,2,2,2,2,2,2,2
"667",667,152853811320105536,15285,38,11,3,20105,"SC",2,3,"Castellano","Superior universitaria completa","Hombre",3,24,500,15285,38,11,3,20105,5,2,3,2,2,2,2,2,2
"668",668,152856511120105536,15285,65,11,1,20105,"SC",2,1,"Castellano","Maestria/Doctorado","Mujer",3,40,1600,15285,65,11,1,20105,5,2,1,2,2,2,2,2,2
"669",669,152856511320105536,15285,65,11,3,20105,"SC",2,3,"Castellano","Superior no universitaria completa","Hombre",3,18,450,15285,65,11,3,20105,5,2,3,2,2,2,2,2,2
"670",670,1528513311120105472,15285,133,11,1,20105,"SC",2,1,"Castellano","Superior no universitaria completa","Mujer",3,0,2320,15285,133,11,1,20105,5,2,1,2,2,2,2,2,2
